"","qseqid","sseqid","pident","qcovs","new_header","sample_id"
"1","k141_1696927","cyrE_Cylindrospermopsis",99.441,100,"samp_4307_k141_1696927_cyrE_Cylindrospermopsis_99.441_100","samp_4307"
"2","k141_1696927","cyrE_Aphanizomenon",99.441,100,"samp_4308_k141_1696927_cyrE_Aphanizomenon_99.441_100","samp_4308"
"3","k141_108653","cyrE_Cylindrospermopsis",100,100,"samp_4309_k141_108653_cyrE_Cylindrospermopsis_100_100","samp_4309"
"4","k141_108653","cyrE_Aphanizomenon",100,100,"samp_4310_k141_108653_cyrE_Aphanizomenon_100_100","samp_4310"
"5","k141_805175","cyrE_Aphanizomenon",99.016,99,"samp_4311_k141_805175_cyrE_Aphanizomenon_99.016_99","samp_4311"
"6","k141_805175","cyrE_Cylindrospermopsis",98.77,99,"samp_4312_k141_805175_cyrE_Cylindrospermopsis_98.77_99","samp_4312"
"7","k141_485468","cyrB_Aphanizomenon",99.678,100,"samp_4313_k141_485468_cyrB_Aphanizomenon_99.678_100","samp_4313"
"8","k141_485468","cyrB_Aphanizomenon",99.642,100,"samp_4314_k141_485468_cyrB_Aphanizomenon_99.642_100","samp_4314"
"9","k141_485468","cyrB_Cylindrospermopsis",99.534,100,"samp_4315_k141_485468_cyrB_Cylindrospermopsis_99.534_100","samp_4315"
"10","k141_735062","cyrE_Cylindrospermopsis",97.743,100,"samp_4316_k141_735062_cyrE_Cylindrospermopsis_97.743_100","samp_4316"
"11","k141_735062","cyrE_Aphanizomenon",97.743,100,"samp_4317_k141_735062_cyrE_Aphanizomenon_97.743_100","samp_4317"
"12","k141_101012","cyrB_Aphanizomenon",99.377,68,"samp_4318_k141_101012_cyrB_Aphanizomenon_99.377_68","samp_4318"
"13","k141_101012","cyrB_Cylindrospermopsis",99.037,68,"samp_4319_k141_101012_cyrB_Cylindrospermopsis_99.037_68","samp_4319"
"14","k141_1234920","cyrB_Cylindrospermopsis",99.488,100,"samp_4322_k141_1234920_cyrB_Cylindrospermopsis_99.488_100","samp_4322"
"15","k141_1234920","cyrB_Aphanizomenon",99.488,100,"samp_4323_k141_1234920_cyrB_Aphanizomenon_99.488_100","samp_4323"
"16","k141_119750","cyrB_Cylindrospermopsis",99.303,100,"samp_4328_k141_119750_cyrB_Cylindrospermopsis_99.303_100","samp_4328"
"17","k141_119750","cyrB_Aphanizomenon",99.303,100,"samp_4329_k141_119750_cyrB_Aphanizomenon_99.303_100","samp_4329"
"18","k141_322636","cyrB_Cylindrospermopsis",100,100,"samp_4329_k141_322636_cyrB_Cylindrospermopsis_100_100","samp_4329"
"19","k141_8853","cyrB_Aphanizomenon",99.029,100,"samp_4329_k141_8853_cyrB_Aphanizomenon_99.029_100","samp_4329"
"20","k141_119750","cyrB_Aphanizomenon",99.363,62,"samp_4330_k141_119750_cyrB_Aphanizomenon_99.363_62","samp_4330"
"21","k141_846068","cyrE_Cylindrospermopsis",99.079,100,"samp_4331_k141_846068_cyrE_Cylindrospermopsis_99.079_100","samp_4331"
"22","k141_846068","cyrE_Aphanizomenon",99.079,100,"samp_4332_k141_846068_cyrE_Aphanizomenon_99.079_100","samp_4332"
"23","k141_49406","cyrE_Aphanizomenon",99.44,100,"samp_4432_k141_49406_cyrE_Aphanizomenon_99.44_100","samp_4432"
"24","k141_49406","cyrE_Cylindrospermopsis",99.216,100,"samp_4433_k141_49406_cyrE_Cylindrospermopsis_99.216_100","samp_4433"
"25","k141_322636","cyrB_Aphanizomenon",100,100,"samp_4435_k141_322636_cyrB_Aphanizomenon_100_100","samp_4435"
"26","k141_8853","cyrB_Aphanizomenon",99.029,100,"samp_4435_k141_8853_cyrB_Aphanizomenon_99.029_100","samp_4435"
"27","k141_204868","cyrC_Cylindrospermopsis",99.311,99,"samp_4437_k141_204868_cyrC_Cylindrospermopsis_99.311_99","samp_4437"
"28","k141_204868","cyrC_Aphanizomenon",99.248,99,"samp_4438_k141_204868_cyrC_Aphanizomenon_99.248_99","samp_4438"
"29","k141_618537","cyrA_Aphanizomenon",99.065,58,"samp_4440_k141_618537_cyrA_Aphanizomenon_99.065_58","samp_4440"
"30","k141_618537","cyrA_Aphanizomenon",98.98,58,"samp_4441_k141_618537_cyrA_Aphanizomenon_98.98_58","samp_4441"
"31","k141_618537","cyrA_Cylindrospermopsis",98.724,58,"samp_4442_k141_618537_cyrA_Cylindrospermopsis_98.724_58","samp_4442"
"32","k141_322636","cyrB_Aphanizomenon",100,100,"samp_4445_k141_322636_cyrB_Aphanizomenon_100_100","samp_4445"
"33","k141_8853","cyrB_Cylindrospermopsis",98.706,100,"samp_4445_k141_8853_cyrB_Cylindrospermopsis_98.706_100","samp_4445"
"34","k141_876654","cyrC_Aphanizomenon",99.209,100,"samp_4451_k141_876654_cyrC_Aphanizomenon_99.209_100","samp_4451"
"35","k141_876654","cyrC_Cylindrospermopsis",98.748,100,"samp_4453_k141_876654_cyrC_Cylindrospermopsis_98.748_100","samp_4453"
"36","k141_1120920","cyrB_Aphanizomenon",99.434,100,"samp_4454_k141_1120920_cyrB_Aphanizomenon_99.434_100","samp_4454"
"37","k141_1120920","cyrB_Cylindrospermopsis",99.119,100,"samp_4455_k141_1120920_cyrB_Cylindrospermopsis_99.119_100","samp_4455"
